algo_fullstrong,algo_pscost,feature_constraint_degree_max,feature_constraint_degree_mean,feature_constraint_degree_min,feature_constraint_degree_stdev,feature_continuous_variables,feature_feasible_round_downs,feature_feasible_round_ups,feature_integer_variables,feature_lattice_flatness,feature_lhs_coefficient_max,feature_lhs_coefficient_mean,feature_lhs_coefficient_min,feature_lhs_coefficient_stdev,feature_nonzeros,feature_objective_max,feature_objective_mean,feature_objective_min,feature_objective_stdev,feature_prob_feasible_rounding,feature_relaxation_integer_violations,feature_relaxation_total_fractionality,feature_rhs_max,feature_rhs_mean,feature_rhs_min,feature_rhs_stdev,feature_svd_condition,feature_svd_largest,feature_svd_smallest,feature_variable_degree_max,feature_variable_degree_mean,feature_variable_degree_min,feature_variable_degree_stdev,feature_vc_adjacency_eigenvalue_stdev,feature_vc_algebraic_connectivity,feature_vc_energy,feature_vc_girth,feature_vc_revised_szeged_index,feature_vc_szeged_index,source,instances
1,1,6.0,1.9,1.0,1.59513,0.0,0.0,1.0,10.0,1.78678e-308,0.866694,-0.434452,-1.54896,0.565376,19.0,9.45959,3.39056,0.0,3.53523,0.479,1.0,0.100609,3.05468,0.872904,-0.882977,1.26028,520.761,2.23451,0.00429085,5.0,1.9,1.0,1.44914,0.839865,0.0,1.10901,4.0,1339.0,175.0,Diversified,inst_0868
57,80,7.0,4.0,1.0,2.0,0.0,1.0,3.0,10.0,9.76723e-309,2.48772,0.421448,-1.53355,0.957572,40.0,4.6045,-1.66133,-10.842,4.3171,0.0,6.0,0.968172,18.2024,4.37827,-17.4746,9.43013,97.211,4.57999,0.0471138,8.0,4.0,1.0,3.26599,1.56577,0.0,1.29265,4.0,2646.0,1902.0,Diversified,inst_0170
3,3,9.0,6.8,2.0,2.69979,1.0,0.0,1.0,9.0,1.0,0.128604,-0.221504,-0.559008,0.14047,68.0,2.66485,0.943745,0.0,0.951027,0.479,1.0,0.349359,3.18518,0.90827,-0.0877921,1.24032,1980.97,1.70383,0.0008601,10.0,6.8,2.0,2.69979,2.21425,1.71193,1.46364,4.0,4892.0,4892.0,Diversified,inst_0606
12,21,9.0,6.1,1.0,2.88483,3.0,0.0,5.0,7.0,1.0,-0.103864,-0.673678,-1.12142,0.234537,61.0,8.27389,4.32504,0.0,2.91661,0.23,5.0,1.74637,1.43498,-2.18986,-4.19394,1.7993,51.1319,4.92992,0.0964158,9.0,6.1,1.0,2.64365,2.08633,0.0,1.40173,4.0,4589.0,3488.0,Diversified,inst_0814
5,17,10.0,8.4,4.0,1.89737,3.0,2.0,0.0,7.0,0.149037,3.43102,1.85892,0.0314555,0.781872,84.0,-1.35974,-9.32223,-15.4267,4.25152,0.258,2.0,0.0827275,33.9573,21.9537,3.82744,9.56223,101.196,16.5839,0.16388,10.0,8.4,4.0,1.64655,2.59778,3.41382,1.41031,4.0,6466.0,6466.0,Diversified,inst_0737
127,230,8.0,4.0,1.0,2.70801,0.0,0.0,6.0,10.0,1.0,0.148851,-1.96716,-3.56362,0.860407,40.0,19.2934,6.97334,0.521692,6.7668,0.01,7.0,0.965587,0.448393,-11.1934,-26.1992,7.64441,44.4229,10.442,0.235059,7.0,4.0,1.0,1.94365,1.45981,0.361385,1.40553,4.0,2360.0,2360.0,Diversified,inst_0236
1,1,10.0,8.5,1.0,2.71825,3.0,1.0,1.0,7.0,0.0346644,3.54667,1.44856,-0.26279,0.787863,85.0,5.66171,-2.51966,-17.3716,6.33512,1.0,1.0,1.11022e-16,5.08662,2.54879,0.122943,1.42791,49.7655,13.0769,0.262771,10.0,8.5,6.0,1.08012,2.63385,0.944253,1.38192,4.0,6631.0,6631.0,Diversified,inst_0406
1,1,4.0,1.9,1.0,0.875595,1.0,0.0,0.0,9.0,5.563e-321,0.467998,0.0973077,-0.238825,0.202326,19.0,5.84576,1.01412,0.0,1.78242,1.0,0.0,0.0,1.822,0.564734,-0.0471724,0.727977,32.0246,0.751023,0.0234514,7.0,1.9,1.0,2.02485,0.945933,0.0,1.02467,4.0,1341.0,153.0,Diversified,inst_0614
1,1,4.0,1.9,1.0,0.994429,2.0,0.0,0.0,8.0,1.93947e-13,1.94607,1.52121,1.20504,0.233764,19.0,1.0,-1.04432,-9.08293,3.19418,1.0,0.0,0.0,8.65473,3.164,0.0,3.24969,4.61358,5.07645,1.10033,6.0,1.9,1.0,1.91195,0.908208,0.0,1.0566,4.0,1391.0,136.0,Diversified,inst_0478
9,15,10.0,9.2,6.0,1.22927,6.0,0.0,3.0,4.0,1.0,-0.562627,-1.29626,-2.06684,0.30859,92.0,23.8489,18.777,3.06536,5.77216,0.112,3.0,1.07416,-6.52288,-12.1195,-15.1542,2.72382,50.9266,12.176,0.23909,10.0,9.2,6.0,1.31656,2.81438,5.25669,1.29434,4.0,7210.0,7210.0,Diversified,inst_0838
1,1,6.0,2.3,1.0,2.16282,0.0,0.0,0.0,10.0,2.58154e-307,0.0168541,-0.180219,-0.388451,0.103345,23.0,6.23518,1.77619,0.0,1.79661,1.0,0.0,0.0,8.23139,1.83652,-0.28273,2.60088,18.7715,0.809059,0.0431004,5.0,2.3,1.0,1.33749,1.0551,0.0,1.11464,4.0,1653.75,366.0,Diversified,inst_0493
1,1,5.0,2.1,1.0,1.28668,3.0,0.0,0.0,7.0,5.563e-321,0.819996,-0.0759686,-1.0817,0.499409,21.0,8.0,1.62912,0.0,2.30456,1.0,0.0,0.0,6.47666,1.55566,-0.00317264,2.15299,10.0761,1.27166,0.126206,6.0,2.1,1.0,1.85293,0.915572,0.0,1.14177,4.0,1549.0,273.0,Diversified,inst_0034
1,1,8.0,4.4,1.0,2.45855,1.0,0.0,2.0,9.0,1.15854e-13,0.816441,0.083588,-0.658967,0.332975,44.0,1.64012,0.449332,-2.47916,1.13304,0.243,2.0,9.13717e-09,3.54786,0.86192,-1.40598,1.48492,818.538,1.55911,0.00190475,7.0,4.4,1.0,2.45855,1.48966,0.838359,1.51389,4.0,2898.0,2898.0,Diversified,inst_0486
45,85,4.0,2.5,1.0,1.08012,0.0,0.0,7.0,10.0,1.0,-0.143847,-1.56973,-3.07237,0.610724,25.0,4.88806,2.36932,0.180835,1.73385,0.033,7.0,1.04089,-0.450504,-3.79485,-12.0804,4.37461,97.7088,6.50025,0.0665268,7.0,2.5,1.0,2.17307,1.07884,0.0,1.18081,4.0,1573.0,629.0,Diversified,inst_0664
1,1,9.0,7.4,1.0,2.71621,0.0,0.0,4.0,10.0,1.0,1.16888,-0.285021,-2.68879,0.774313,74.0,6.75545,2.22404,-1.66559,2.82299,0.067,4.0,7.96265e-08,1.95506,-2.49936,-6.93371,3.08912,35.6038,4.17125,0.117157,9.0,7.4,1.0,2.45855,2.46635,0.0,1.27328,4.0,5796.0,4474.0,Diversified,inst_0068
19,93,6.0,3.7,1.0,1.56702,3.0,0.0,2.0,7.0,1.0,0.40471,-0.638469,-1.60777,0.502189,37.0,13.0021,3.31742,-1.34454,4.38937,0.245,3.0,0.579308,0.263242,-2.67158,-9.54275,3.53888,23.3083,3.90925,0.167719,9.0,3.7,1.0,3.335,1.51893,0.0,1.2281,4.0,2382.0,1689.0,Diversified,inst_0879
7,7,9.0,6.8,4.0,1.54919,1.0,0.0,0.0,9.0,0.00967588,1.92687,0.141121,-1.79388,0.815402,68.0,5.69359,1.34334,-0.763104,1.84504,0.0,1.0,0.0105905,4.45368,1.23473,-0.121566,1.4123,263.801,4.48098,0.0169862,10.0,6.8,1.0,3.4254,2.18624,0.905571,1.5031,4.0,4803.0,4803.0,Diversified,inst_0938
5,21,9.0,6.0,1.0,2.66667,5.0,0.0,1.0,5.0,1.43249e-308,1.93714,-0.147399,-1.85917,0.937087,60.0,10.198,0.58093,-3.73944,4.24362,0.0,3.0,0.514405,7.89463,-2.27675,-10.976,6.36821,48.373,4.18677,0.0865518,9.0,6.0,1.0,3.05505,2.03538,0.86402,1.43679,4.0,4198.0,4198.0,Diversified,inst_0095
1,1,10.0,10.0,10.0,0.0,7.0,0.0,0.0,3.0,1.0,-0.794359,-1.89209,-2.7677,0.391574,100.0,12.4732,10.2755,8.98018,1.27664,1.0,0.0,0.0,-9.07989,-12.5421,-13.5491,1.2849,617.268,18.9985,0.0307784,10.0,10.0,10.0,0.0,3.07794,10.0,1.0,4.0,8100.0,8100.0,Diversified,inst_0357
3,7,9.0,4.5,1.0,2.59272,2.0,0.0,5.0,8.0,1.0,0.476784,-0.808567,-2.19641,0.644691,45.0,13.5745,6.17363,0.0,4.41764,0.038,5.0,0.795474,-0.889357,-6.21848,-11.3489,3.96026,69.1862,5.13441,0.0742115,8.0,4.5,2.0,2.06828,1.52358,0.788938,1.51485,4.0,2811.0,2811.0,Diversified,inst_0667
27,51,9.0,6.1,1.0,2.13177,3.0,0.0,7.0,7.0,1.0,-1.48945,-1.76459,-2.05391,0.136847,61.0,36.8647,25.2657,1.10019,10.3617,0.066,7.0,1.69323,-6.96847,-16.5455,-25.5398,5.34553,105.31,12.1665,0.11553,9.0,6.1,1.0,2.5144,1.98335,0.829019,1.53721,4.0,4514.0,4514.0,Diversified,inst_0623
